,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2016-2017,2017-2018,2017-2018,2018-2019,2019-2020,,2021-2022,2022-2023,2023-2024,6 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,AGF (2 stagioni),Köln U17 (1 stagione),Köln U19 (1 stagione),Roda JC (1 stagione),Inter (1 stagione),Holstein Kiel (1 stagione),Köln (1 stagione),,Superliga (2 stagioni),U17 Bundesliga (1 stagione),U19 Bundesliga (1 stagione),Serie A (1 stagione),Eerste Divisie (1 stagione),Bundesliga (1 stagione),2. Bundesliga (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2016-2017,15,Köln U17,de GER,Jr. U17 Bundesliga,9°,25.0,,,,,,,,,,,,,,,,,Partite
2017-2018,16,Köln U19,de GER,Jr. U19 Bundesliga,10°,18.7,,,,,,,,,,,,,,,,,Partite
2017-2018,16,Köln,de GER,1. Bundesliga,18°,1.7,2,2,2,0,0,1,1,"100,0",0,1,1,0,3,5,8,0,Partite
2018-2019,17,Holstein Kiel,de GER,2. 2. Bundesliga,6°,0.2,4,2,4,0,0,3,3,"100,0",0,1,0,1,0,4,1,0,Partite
2019-2020,18,Roda JC,nl NED,2. Eerste Divisie,16°,5.4,,8,,,,,,,,,,,7,,,,Partite
,,,,,,,,,,,,,,,,,,,,,,,
2021-2022,20,AGF,dk DEN,1. Superliga,10°,23.5,,8,,,,,,,,,,,47,,,,Partite
2022-2023,21,AGF,dk DEN,1. Superliga,9°,32.0,,26,,,,,,,,,,,32,,,,Partite
2023-2024,22,Inter,it ITA,1. Serie A,1°,5.3,7,3,4,2,1,4,6,"66,7",2,2,1,1,0,7,11,0,Partite
6 stagioni,5 club,,5 campionati,,68.2,13,49,10,2,1,8,10,"80,0",2,4,2,2,89,16,20,0,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
AGF (2 stagioni),,1 campionato,,55.5,,34,,,,,,,,,,,79,0,,,
Köln U17 (1 stagione),,1 campionato,,25.0,,,,,,,,,,,,,,0,,,
Köln U19 (1 stagione),,1 campionato,,18.7,,,,,,,,,,,,,,0,,,
Roda JC (1 stagione),,1 campionato,,5.4,,8,,,,,,,,,,,7,0,,,
Inter (1 stagione),,1 campionato,,5.3,7,3,4,2,1,4,6,"66,7",2,2,1,1,0,7,11,0,
Holstein Kiel (1 stagione),,1 campionato,,0.2,4,2,4,0,0,3,3,"100,0",0,1,0,1,0,4,1,0,
Köln (1 stagione),,1 campionato,,1.7,2,2,2,0,0,1,1,"100,0",0,1,1,0,3,5,8,0,
,,,,,,,,,,,,,,,,,,,,,
Superliga (2 stagioni),,,,55.5,,34,,,,,,,,,,,79,0,,,
U17 Bundesliga (1 stagione),,,,25.0,,,,,,,,,,,,,,0,,,
U19 Bundesliga (1 stagione),,,,18.7,,,,,,,,,,,,,,0,,,
Serie A (1 stagione),,,,5.3,7,3,4,2,1,4,6,"66,7",2,2,1,1,0,7,11,0,
Eerste Divisie (1 stagione),,,,5.4,,8,,,,,,,,,,,7,0,,,
Bundesliga (1 stagione),,,,1.7,2,2,2,0,0,1,1,"100,0",0,1,1,0,3,5,8,0,
2. Bundesliga (1 stagione),,,,0.2,4,2,4,0,0,3,3,"100,0",0,1,0,1,0,4,1,0,
