,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,18 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Sporting CP (12 stagioni),Wolves (3 stagioni),Roma (3 stagioni),,Primeira Liga (12 stagioni),Premier League (3 stagioni),Serie A (3 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2006-2007,18,Sporting CP,pt POR,1. Primeira Liga,2°,1.0,,,,,,,,,,,,,,,,Partite
2007-2008,19,Sporting CP,pt POR,1. Primeira Liga,2°,20.0,,,,,,,,,,,,,,,,Partite
2008-2009,20,Sporting CP,pt POR,1. Primeira Liga,2°,26.0,,,,,,,,,,,,,,,,Partite
2009-2010,21,Sporting CP,pt POR,1. Primeira Liga,4°,30.0,,,,,,,,,,,,,,,,Partite
2010-2011,22,Sporting CP,pt POR,1. Primeira Liga,3°,30.0,,,,,,,,,,,,,,,,Partite
2011-2012,23,Sporting CP,pt POR,1. Primeira Liga,4°,28.0,,,,,,,,,,,,,,,,Partite
2012-2013,24,Sporting CP,pt POR,1. Primeira Liga,7°,30.0,,,,,,,,,,,,,,,,Partite
2013-2014,25,Sporting CP,pt POR,1. Primeira Liga,2°,30.0,,,,,,,,,,,,,,,,Partite
2014-2015,26,Sporting CP,pt POR,1. Primeira Liga,3°,33.0,,,,,,,,,,,,,,,,Partite
2015-2016,27,Sporting CP,pt POR,1. Primeira Liga,2°,33.3,,,,,,,,,,,,,,,,Partite
2016-2017,28,Sporting CP,pt POR,1. Primeira Liga,3°,31.0,,,,,,,0,,,,,,,,,Partite
2017-2018,29,Sporting CP,pt POR,1. Primeira Liga,3°,34.0,,,,,,,0,,,,,,,,,Partite
2018-2019,30,Wolves,eng ENG,1. Premier League,7°,37.0,864,512,351,66,0,0,0,1,0,0,0,0,511,1,0,Partite
2019-2020,31,Wolves,eng ENG,1. Premier League,7°,38.0,864,503,358,75,0,3,0,0,0,0,0,0,567,3,1,Partite
2020-2021,32,Wolves,eng ENG,1. Premier League,13°,37.0,810,458,350,82,0,0,0,0,0,0,0,0,559,2,0,Partite
2021-2022,33,Roma,it ITA,1. Serie A,6°,38.0,1081,744,332,110,0,1,0,0,0,0,0,0,831,5,1,Partite
2022-2023,34,Roma,it ITA,1. Serie A,6°,35.0,887,580,304,64,0,0,0,0,0,0,0,0,677,3,0,Partite
2023-2024,35,Roma,it ITA,1. Serie A,5°,23.0,630,442,187,50,0,0,0,0,0,0,0,0,493,1,0,Partite
18 stagioni,3 club,,3 campionati,,534.3,5136,3239,1882,447,0,4,0,1,0,0,0,0,3638,15,2,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Sporting CP (12 stagioni),,1 campionato,,326.3,,,,,,,0,,,,,,,,,
Wolves (3 stagioni),,1 campionato,,112.0,2538,1473,1059,223,0,3,0,1,0,0,0,0,1637,6,1,
Roma (3 stagioni),,1 campionato,,96.0,2598,1766,823,224,0,1,0,0,0,0,0,0,2001,9,1,
,,,,,,,,,,,,,,,,,,,,
Primeira Liga (12 stagioni),,,,326.3,,,,,,,0,,,,,,,,,
Premier League (3 stagioni),,,,112.0,2538,1473,1059,223,0,3,0,1,0,0,0,0,1637,6,1,
Serie A (3 stagioni),,,,96.0,2598,1766,823,224,0,1,0,0,0,0,0,0,2001,9,1,
